question,option_l,option_r,answer,type
过桥米线起源于哪个地区,,,云南,factoid
日本动画片 千与千寻 中无面人吃的第一个角色是,,,青蛙,factoid
千里江山图 的作者是,,,王希孟,factoid
漫画 海贼王 中狙击手 乌索普 的外号是,,,撒谎布,factoid
因为懂得 所以慈悲 是哪位女作家写给爱人的句子,,,张爱玲,factoid
AcG常说的cv是什么意思,,,声优,factoid
木兰辞 中说的 扑朔迷离 指的动物是兔子,,,正确,yesno
世界上最早证明自由落体定律的人是,,,伽利略,factoid
烟草里毒性最大的物质是尼古丁,正确,错误,正确,yesno
苛政猛于虎也 是谁的观点,,,孔子,factoid
汽车仪表盘类似 水龙头 灯亮是,,,发动机故障,factoid
中国第一台蒸汽机诞生地是哪个城,,,安庆,factoid
我国解放后发现的第一个大油田,,,克拉玛依油田,factoid
万事俱备只欠东风 讲的是哪场经典战役,赤壁之战,平型关战役,,factoid
下列属于中国 新四大火炉 的城市的是,重庆,深圳,重庆,factoid
下列文学人物哪个不属于欧洲文学作品中 四大吝啬鬼形象,夏洛克,安东尼奥,,factoid
人类有多少对染色体,22,23,23,factoid
被吉尼斯世界纪录评为 世界流行乐之都 是哪座城市,利物浦,东京,利物浦,factoid
形容贫富悬殊的时候说的名句 朱门酒肉臭下一句是,路有冻死骨,乞丐满街走,路有冻死骨,factoid
现代足球源于英国,错误,正确,正确,yesno
北宋末年 金军攻破东京 俘虏了宋徽宗宋钦宗父子 被称为,靖康之耻,玄武之变,,factoid
日本奇幻温情小说 解忧百货店 的作者是,东野圭吾,毛,,factoid
儒家学派的孔子被称为 圣人 那么谁被称为 亚圣,孟子,庄子,,factoid
世界上最大的沙漠是,撒哈拉沙漠,利比亚沙漠,撒哈拉沙漠,factoid
太上 下知有之 其次 亲而誉之 出自哪部典籍,《冲虚经》,《道德经》,,factoid
歇后语 丈二和尚 的下一句是,摸不着头脑,丈三法师,摸不着头脑,factoid
世界上含沙最多的河流是,海河,黄河,黄河,factoid
饮酒会降低运动员的运动能力,错误,正确,正确,yesno
再别康桥 的作者是,徐霞客,徐志摩,徐志摩,factoid
后晋高祖指的是,石敬瑭,司马钧,,factoid
东南亚唯一的内陆国是,缅甸,老挝,,factoid
剧烈运动后产生的酸痛感 是由于体内哪种化合物所引起的,乳酸,脂肪,乳酸,factoid
中国最大的戏楼在颐和园,错误,正确,,yesno
黄花岗起义第一枪是谁开的,贾金彪,黄兴,,factoid
隋炀帝杨广死于兵败自杀,错误,正确,,yesno
电影 我不是潘金莲 中范冰冰饰演的角色叫什么,李晓莲,李雪莲,,factoid
有蝴蝶8只 蜻蜓比蝴蝶多4只 那么蚓蝶和蜻蜓一共有20只,错误,正确,正确,yesno
我国股市代码 6 开头的股票属于以下哪个市场,上海主板,中小板,上海主板,factoid
被誉为 安卓之父 的人是,安迪鲁宾,谢尔盖·布林,安迪鲁宾,factoid
目前已经上映哈利波特系列电影已经到了第六部,错误,正确,错误,yesno
普法战争的时候被俘的法国皇帝是,拿破仑三世,路易十三,,factoid
江苏邗江 中的 邗 读作,xIng,han,,factoid
文言文 幼时记趣 的作者是,沈复,沈从文,,factoid
清代康熙皇帝的全名是,爱新觉罗玄烨,爱新觉罗溥仪,爱新觉罗玄烨,factoid
董火虫发光的目的是为了求偶,错误,正确,,yesno
黄色领骑衫 来源于哪种代步工具所产生的赛事,自行车,摩托车,自行车,factoid
下列选项中不属于鱼类的是,鲤鱼,鲸,,factoid
kar98k毛瑟步枪的原产国是,德国,俄国,,factoid
住木斯属于哪个省,黑龙江,辽宁,黑龙江,factoid
歌词 我们讲着春天的故事 改革开放富起来 来自哪首歌,走进新时代,我的中国心,走进新时代,factoid
论法的精神 是哪位启蒙运动思想家的著作,孟德斯鸠,洛克,,factoid
隋炀帝杨广死于兵败自杀,错误,正确,,yesno
红楼梦 中林黛玉的别号是,稻香老农,潇湘妃子,,factoid
唐代 贞观之治 时期统治者是,唐太宗,武则天,,factoid
难兄难弟 本来是形容兄弟都同样倒霉,错误,正确,错误,yesno正确ctoid
